,Ind_Id,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_Status,Housing_Type,Years_Of_Birth,Employed_Years,Type_Occupation,Family_Members,Label
0,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,-1.61,Not_Known,2,1
1,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,-1.61,Not_Known,2,1
2,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,-1.61,Not_Known,2,1
3,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.92,-2.75,Cooking staff,2,1
4,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.92,-2.75,Cooking staff,2,1
5,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.29,-0.68,Laborers,2,1
6,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.29,-0.68,Laborers,2,1
7,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,-6.77,Sales staff,1,1
8,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,-6.77,Sales staff,1,1
9,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,51.68,-4.5,Not_Known,2,1
10,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.1,-11.85,Not_Known,1,1
11,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.94,-4.59,Laborers,2,1
12,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,48.77,-2.98,Accountants,2,1
13,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.25,-2.53,Sales staff,4,1
14,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,43.77,-2.34,Laborers,2,1
15,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,32.95,-13.07,Cleaning staff,2,1
16,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.45,-6.56,Laborers,1,1
17,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.7,-1.05,Sales staff,3,1
18,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,35.66,-9.99,Not_Known,2,1
19,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,55.71,-4.24,Drivers,2,1
20,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,57.68,-2.21,Drivers,2,1
21,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.53,-3.52,Laborers,2,1
22,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,43.98,-20.19,Not_Known,4,1
23,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.37,-6.22,Low-skill Laborers,3,1
24,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.37,-6.22,Low-skill Laborers,3,1
25,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.73,-11.27,Accountants,3,1
26,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.39,-3.18,Laborers,3,1
27,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.39,-3.18,Laborers,3,1
28,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.21,-19.97,Laborers,2,1
29,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.21,-19.97,Laborers,2,1
30,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,31.81,-0.45,High skill tech staff,1,1
31,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.28,-2.37,Laborers,3,1
32,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.28,-2.37,Laborers,3,1
33,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.48,-1.55,IT staff,2,1
34,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.48,-1.55,IT staff,2,1
35,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.08,-9.22,Drivers,2,1
36,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.08,-9.22,Drivers,2,1
37,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.08,-9.22,Drivers,2,1
38,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.14,-5.89,Managers,2,1
39,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,-3.99,Drivers,3,1
40,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,-3.99,Drivers,1,1
41,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,24.99,-4.29,Waiters/barmen staff,3,1
42,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.47,-0.38,Laborers,2,1
43,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,41.53,-10.89,High skill tech staff,2,1
44,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.07,-4.3,Not_Known,2,1
45,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.05,-7.88,Laborers,3,1
46,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.5,-0.38,Sales staff,2,1
47,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.21,-7.06,Not_Known,2,1
48,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,30.71,-4.72,Accountants,2,1
49,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,30.71,-4.72,Accountants,2,1
50,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42.85,-3.64,Core staff,2,1
51,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.66,-13.66,High skill tech staff,4,1
52,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,33.57,-9.58,Not_Known,3,1
53,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,33.57,-9.58,Not_Known,3,1
54,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37.59,-3.82,Laborers,2,1
55,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37.59,-3.82,Laborers,2,1
56,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37.59,-3.82,Laborers,2,1
57,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.13,-3.47,Managers,2,1
58,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,55.52,-6.93,Accountants,2,1
59,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.95,-5.77,Not_Known,3,1
60,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.35,-0.59,Laborers,2,1
61,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.35,-0.59,Laborers,2,1
62,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.45,-1.47,Laborers,4,1
63,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.13,-18.81,Core staff,3,1
64,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,54.83,-1.6,Core staff,1,1
65,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,54.83,-1.6,Core staff,1,1
66,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.04,-6.1,Cleaning staff,1,1
67,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,44.68,-1.68,Laborers,1,1
68,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.15,-19.02,Medicine staff,2,1
69,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.17,-0.95,Security staff,1,1
70,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.04,-4.95,Not_Known,3,1
71,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.04,-4.95,Not_Known,3,1
72,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39.79,-9.37,Core staff,2,1
73,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39.79,-9.37,Core staff,2,1
74,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39.79,-9.37,Core staff,2,1
75,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39.79,-9.37,Core staff,2,1
76,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.79,-9.37,Core staff,2,1
77,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39.79,-2.36,Managers,1,1
78,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39.79,-2.36,Managers,1,1
79,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,35.68,-10.77,Laborers,3,1
80,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,49.68,-2.85,Laborers,2,1
81,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.19,-0.37,Laborers,2,1
82,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44.97,-1.7,High skill tech staff,2,1
83,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44.97,-1.7,High skill tech staff,2,1
84,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.37,-4.37,Cooking staff,1,1
85,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,35.7,-4.45,Laborers,3,1
86,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.02,-5.12,Sales staff,4,1
87,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,-1.52,Security staff,2,1
88,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,-1.52,Security staff,2,1
89,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,-1.52,Security staff,2,1
90,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.21,-5.3,Core staff,1,1
91,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.21,-5.3,Core staff,1,1
92,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,51.61,-2.55,Laborers,2,1
93,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.39,-2.53,Drivers,3,1
94,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.39,-2.53,Drivers,3,1
95,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51.92,-1.37,Core staff,1,1
96,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51.92,-1.37,Core staff,1,1
97,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51.92,-1.37,Core staff,1,1
98,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.47,-6.62,Laborers,3,1
99,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.88,-0.52,Managers,1,1
100,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,34.86,-3.1,Sales staff,3,1
101,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.61,-4.85,Security staff,2,1
102,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.44,-2.52,Managers,1,1
103,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.15,-2.96,Security staff,2,1
104,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.15,-2.96,Security staff,2,1
105,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,47.53,-6.63,Managers,2,1
106,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,33.94,-3.63,Medicine staff,2,1
107,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,33.94,-3.63,Medicine staff,2,1
108,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.15,-17.44,Cleaning staff,3,0
109,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.66,-6.81,Laborers,2,0
110,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.47,-0.93,Sales staff,2,0
111,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.97,-8.37,Private service staff,3,0
112,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.86,-8.18,Sales staff,3,0
113,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47.58,-5.83,Laborers,2,0
114,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.32,-2.25,Core staff,2,0
115,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,28.99,-4.64,Not_Known,3,0
116,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,58.91,-4.59,Core staff,2,0
117,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.4,-1.9,Not_Known,1,0
118,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.43,-1.55,Not_Known,1,0
119,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.4,-2.42,Sales staff,1,0
120,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.4,-7.59,Not_Known,2,0
121,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.3,-4.24,Core staff,2,0
